,id_transaccion,id_vehiculo,fecha_trx,tipo_operacion,monto,tasa_interes,fecha_financiacion,id_deudor,edad_cliente,ingresos_mensuales,Ciudad_cliente
0,8212533,HKT072,02/05/2024,Leasing,44233862,,01/03/2024,8376094,51,19830708,Soacha
1,2098518,PSN207,19/03/2022,Credito,140719639,Premium,09/01/2022,9764948,37,10767519,Bogotá
2,2837633,CZC604,19/08/2024,Leasing,137998982,,13/07/2024,6355349,22,7979934,Villavicencio
3,1903710,ZDR622,06/05/2024,Contado,151591752,,30/01/2024,6691153,23,22040576,Soacha
4,8915050,BVO376,27/01/2022,Credito,120089459,Preferencial,16/12/2021,7441513,46,6086490,Soacha
5,9553899,JUS076,17/02/2022,Leasing,97891334,,12/01/2022,1901489,38,19762308,Soacha
6,1987860,DMG717,23/10/2023,Leasing,102856303,,15/08/2023,8916102,42,16419829,Cartagena
7,1576531,BMX497,09/06/2023,Contado,97109570,,23/02/2023,8532777,67,4359013,Soacha
8,5697526,LKK976,16/02/2022,Credito,118240797,Premium,27/11/2021,3386528,57,23310198,Medellín
9,8490757,SLU981,17/10/2023,Leasing,54139322,,24/08/2023,2856978,57,28343132,Barranquilla
10,5703434,ZWQ471,24/02/2021,Leasing,91087803,,03/11/2020,1895266,43,19609667,Ibagué
11,2494654,HFF869,01/12/2023,Leasing,96830899,,14/08/2023,5497010,53,16709309,Cúcuta
12,1928831,MBL087,28/09/2024,Leasing,106962814,,03/07/2024,1198237,63,23946758,Medellín
13,1411216,JYO554,26/10/2023,Contado,129554334,,12/08/2023,8766255,44,14316853,Bogotá
14,6602634,ESD500,02/09/2023,Credito,40955078,Premium,31/05/2023,4814984,65,27403578,Cali
15,5726873,RKG958,04/10/2023,Credito,45380469,Preferencial,03/09/2023,9503166,39,10353966,Ibagué
16,2789895,KHJ897,18/11/2022,Credito,129983490,Premium,27/09/2022,5953235,27,30910041,Bogotá
17,7286109,OAF849,05/01/2024,Credito,130211989,Premium,11/10/2023,9692186,36,31996749,Bogotá
18,5363525,NUY924,09/01/2023,Leasing,79801381,,23/09/2022,2810733,40,20776013,Cali
19,5314772,XOU550,24/03/2022,Leasing,68558172,,30/11/2021,9042505,65,4860779,Villavicencio
20,9395313,QLJ026,06/12/2022,Contado,146528734,,29/10/2022,6254464,54,17883637,Soledad
21,6070606,SJN134,08/09/2022,Contado,110573085,,18/07/2022,8824742,46,8061120,Bogotá
22,3228248,RLU014,09/12/2024,Credito,47550056,General,26/10/2024,8735027,28,3712364,Ibagué
