,placa,ESTADO_VENTA,Marca,Referencia,Modelo,KILOMETRAJE,id_veh,PRECIO_VENTA,Clase,valor_asegurado,Ciudad
0,ICS876,Nuevos,Byd,Song Plus Dm-i,2024,20.0,11106013,184900000.0,CAMIONETA PASAJ.,159200.0,Bucaramanga
1,AGT911,Nuevos,Ford,Ecosport [2],2016,2470.0,3006130,51000000.0,CAMIONETA PASAJ.,43800.0,Barranquilla
2,OOG319,Nuevos,Ford,Ecosport [2],2020,,3008062,73400000.0,CAMPERO,71200.0,Medellín
3,WGR685,Usados,Renault,Koleos [1],2014,,8006038,49800000.0,CAMIONETA PASAJ.,45400.0,Cartagena
4,YMC152,Usados,Renault,Logan [2],2017,12522.0,8001187,35100000.0,AUTOMOVIL,34900.0,Bogotá
5,MGF809,Usados,Kia,Cerato [4],2018,,4601234,59500000.0,AUTOMOVIL,57700.0,Bogotá
6,XCC796,Usados,Chevrolet,Captiva,2011,62043.0,1606211,30700000.0,CAMIONETA PASAJ.,28300.0,Bucaramanga
7,MXS321,Nuevos,Jmc,Jx,2024,5057.0,15804023,109490000.0,CAMION,0.0,Cartagena
8,KGM770,Usados,Ford,Fiesta [4],2011,,3001125,23800000.0,AUTOMOVIL,30000.0,Bogotá
9,IEX450,Nuevos,Karry,Yoyo,2023,6134.0,41807001,61490000.0,CAMIONETA REPAR,46500.0,Cali
10,DUH358,Usados,Bmw,X6,2018,,808050,218700000.0,CAMPERO,194900.0,Villavicencio
11,VRA051,Usados,Mazda,2 [2],2017,,5601157,59994500.0,AUTOMOVIL,51700.0,Medellín
12,KEI620,Usados,,,2016,,3008033,64498225.02,CAMPERO,0.0,Medellín
13,CUG310,Usados,,,2023,45349.0,18911068,116174302.932,CHASIS,99000.0,Medellín
14,BTV433,Usados,Ford,Ecosport [2],2011,,3006113,36000000.0,CAMIONETA PASAJ.,32000.0,Barranquilla
15,JEW540,Nuevos,Nissan,Versa [2],2022,,6401244,77100000.0,AUTOMOVIL,70200.0,Cartagena
16,RCG921,Nuevos,Hyundai,Tucson Ix 35,2012,5503.0,3206070,45000000.0,CAMIONETA PASAJ.,44500.0,Bogotá
17,UUJ541,Usados,Renault,Sandero,2013,,8001157,30500000.0,AUTOMOVIL,31000.0,Cúcuta
18,BRE973,Usados,Mazda,Cx30,2022,,5606101,109952000.0,CAMIONETA PASAJ.,101800.0,Bogotá
19,WHN883,Nuevos,Chevrolet,Spark [3],2012,,1601137,28590000.0,AUTOMOVIL,0.0,Soledad
20,BOY288,Nuevos,Volkswagen,Taos,2024,,9206088,138990000.0,CAMIONETA PASAJ.,125300.0,Cartagena
21,QUR525,Nuevos,Kia,Rio,2023,,4601304,66900000.0,AUTOMOVIL,64600.0,Barranquilla
22,VBX575,Usados,Renault,Stepway,2020,,8001176,52300000.0,AUTOMOVIL,50500.0,Barranquilla
23,NYH730,Nuevos,Mercedes Benz,Gle 250,2017,0.0,5806051,160000000.0,CAMIONETA PASAJ.,127800.0,Cúcuta
24,TQN413,Usados,Chevrolet,Sail,2014,,1601256,28800000.0,AUTOMOVIL,27700.0,Cartagena
25,NAN505,Nuevos,Foton,Frr-s,2022,,18904066,170000000.0,CAMION,162300.0,Santa Marta
26,OXR583,Nuevos,Renault,Kwid,2022,,8001213,37510000.0,AUTOMOVIL,38400.0,Barranquilla
27,IMD926,Nuevos,Citroen,C4 [2],2025,,670,86990001.0,,,Medellín
28,DDU544,Usados,Renault,Duster,2013,,8008006,43000000.0,CAMPERO,39200.0,Soledad
29,ISP832,Usados,Renault,Duster Oroch,2017,,8021002,57000000.0,PICKUP DOBLE CAB,52000.0,Bogotá
30,FJK725,Nuevos,Jac,S3,2022,,11306017,71990000.0,CAMIONETA PASAJ.,63000.0,Cartagena
31,UHR742,Usados,Chevrolet,Sail,2019,,1601256,37200000.0,AUTOMOVIL,35800.0,Bogotá
32,JIQ603,Usados,Bmw,F 750,2022,,817072,69600000.0,MOTOCICLETA,62700.0,Cali
33,DSR551,Nuevos,Karry,Yoyo,2025,792.0,41807001,62000000.0,CAMIONETA REPAR,58600.0,Ibagué
34,YSN885,Nuevos,Jetour,X70,2024,0.0,43506002,97990000.0,CAMIONETA PASAJ.,95700.0,Medellín
35,NVI361,Nuevos,Volkswagen,Taos,2022,,9206089,137300000.0,CAMIONETA PASAJ.,112200.0,Barranquilla
36,STL500,Usados,Kia,Cerato Koup,2013,,4601122,40500000.0,AUTOMOVIL,38000.0,Cali
37,HUR508,Usados,Nissan,Np 300 Frontier [2],2019,,6421068,128500000.0,PICKUP DOBLE CAB,106000.0,Cali
38,RNO968,Usados,Renault,Duster,2022,,3259,83000000.0,,,Ibagué
39,MQD961,Usados,,,2023,17071.0,4601110,44300000.0,AUTOMOVIL,0.0,Bucaramanga
40,QXD805,Nuevos,Volkswagen,Taos,2022,,9206089,150990000.0,CAMIONETA PASAJ.,112200.0,Bogotá
41,NUG361,Nuevos,Mazda,Cx30,2024,,5606101,122400000.0,CAMIONETA PASAJ.,116900.0,Cartagena
42,URT843,Nuevos,Kia,Picanto [3],2025,,4601332,59990000.0,AUTOMOVIL,57700.0,Soacha
43,SIJ945,Nuevos,Kia,Sonet,2023,,4606150,102250000.0,CAMIONETA PASAJ.,92700.0,Cali
44,SJK419,Nuevos,Foton,Fhr,2022,,18912088,94990000.0,FURGON,110000.0,Ibagué
45,JIK738,Nuevos,Chevrolet,Captiva,2022,,1606245,99000000.0,CAMIONETA PASAJ.,84300.0,Soledad
46,IEQ364,Nuevos,Mercedes Benz,Gls 450,2022,,5806081,402900000.0,CAMIONETA PASAJ.,361400.0,Cúcuta
47,FPD584,Nuevos,Bmw,F 900,2024,,817081,61990000.0,MOTOCICLETA,59800.0,Ibagué
48,AJA410,Usados,Nissan,Kicks,2017,,6406130,59400000.0,CAMIONETA PASAJ.,54700.0,Bucaramanga
49,ZIR831,Nuevos,Chevrolet,Beat,2019,1718.0,1601322,43900000.0,AUTOMOVIL,38700.0,Villavicencio
50,VQR329,Nuevos,Citroen,C4 [2],2022,0.0,1806037,92490000.0,CAMIONETA PASAJ.,71600.0,Cali
51,JTS825,Nuevos,Foton,Fhr,2025,241.0,18904085,126990000.0,CAMION,107300.0,Villavicencio
